TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2021-04-07 12:39:27.799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-07 12:39:27.821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-07 12:39:27.848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-07 12:39:28.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-07 12:39:28.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-07 12:39:28.629,0,0.5117438250463603,0.462124313401563,0,0,0.5229923887486483,0.3928866753036468,0,0,1.135757819930019,0.5803604741624947,0,0,1.200067564408175,0.466754340057475,0,0,1.379584521675504,0.06312983410144071,0,1047.216117216117,799.8168498168499,794.981684981685,1185.421245421245,780.8791208791209,0.320496,0.110840,0.936768,6.213226,2.295380,1.816864,1,2,1,1,4,100.000000
2021-04-07 12:39:28.799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-07 12:39:29.159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-07 12:39:29.586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-07 12:39:29.628,0,0.5660892123286744,0.4313244093672667,0,0,0.5118492557851115,0.4303453107444586,0,0,0.942738972080807,0.4334820461047306,0,0,1.057223421685386,0.4595112906880494,0,0,1.010619742711244,0.1386925911310664,0,1028.681318681319,820.7692307692308,797.8021978021978,820.7692307692308,767.1794871794872,0.308838,0.119629,0.940796,6.676788,3.529053,2.856140,1,2,1,1,4,100.000000
2021-04-07 12:39:29.766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-07 12:39:30.636,0,0.9212541308757908,0.4321856478171747,0,0,0.8774172900329137,0.2673463931410188,0,0,1.112483478503673,0.4716283623131901,0,0,1.177944862219778,0.4581181849907755,0,0,1.21984442079059,0.1870666399711313,0,1114.102564102564,832.4542124542124,809.4871794871796,1317.179487179487,830.0366300366301,0.304077,0.126648,0.941528,5.659943,2.355194,3.910370,1,2,1,1,4,100.000000
2021-04-07 12:39:30.981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-07 12:39:31.226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-07 12:39:31.539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-07 12:39:31.628,0,0.9427485442637746,0.5840467961017777,0,0,0.6462519351294466,0.6360465977750849,0,0,1.055175192094377,0.3825477989148801,0,0,1.08868937119045,0.4232783879455707,0,0,1.276819366405316,0.1100280805966241,0,930.7692307692308,790.1465201465202,805.4578754578755,825.2014652014652,671.6849816849817,0.306458,0.118958,0.941101,6.048737,2.691650,2.302856,1,2,1,1,4,100.000000
2021-04-07 12:39:31.829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-07 12:39:32.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-07 12:39:32.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-07 12:39:32.628,0.6154770026519123,0.7927300982329062,0.5039410075304706,0,0.2608053798011918,0.4240992277424491,0.5879614321330275,0,0.7928063179208057,0.9451827439581116,0.4588061361695396,0,1.266557005266951,1.076228469007593,0.338687471178718,0,1.002534475709069,1.136065698194673,0.1043085524474261,0,825.2014652014652,798.2051282051282,795.7875457875458,463.3699633699634,699.0842490842491,0.310608,0.116760,0.945801,6.093597,2.848663,2.796326,1,1,1,1,4,100.000000
2021-04-07 12:39:33.180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-07 12:39:33.647,0.6154770026519123,0.5729949553668041,0.4855032389276029,0,0.2608053798011918,0.7029158663469507,0.5782380984508694,0,0.7928063179208057,1.145607768795237,0.568297925636741,0,1.266557005266951,0.9397962567798317,0.3567746314881727,0,1.002534475709069,0.9902102636458364,0.1151595737903565,0,1521.465201465202,956.959706959707,775.6410256410256,1450.549450549451,844.1391941391942,-0.229187,0.034485,0.858154,1.600037,46.573029,14.587250,1,1,1,1,4,100.000000
2021-04-07 12:39:33.674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-07 12:39:34.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-07 12:39:36.120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-07 12:39:36.137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-07 12:39:36.153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-07 12:39:36.189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-07 12:39:36.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-07 12:39:36.248,0.6154770026519123,0.7415870625941372,0.9117739648703468,0,0.2608053798011918,0.7780263293854257,1.309199559207888,0,0.7928063179208057,1.079402700175464,1.393536536980934,0,1.266557005266951,0.9206588765974394,1.239443048790705,0,1.002534475709069,1.089907643278786,0.8508380085843953,0,949.7069597069598,678.9377289377289,805.8608058608058,1100.805860805861,846.959706959707,-0.144043,0.049011,0.919678,6.459961,-4.314117,3.080444,1,4,1,1,4,100.000000
2021-04-07 12:39:36.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-07 12:39:36.474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-07 12:39:36.637,0.6154770026519123,0.7415870625941372,0.9545914375871374,0,0.2608053798011918,0.7780263293854257,1.321330412153804,0,0.7928063179208057,1.079402700175464,1.349460432567529,0,1.266557005266951,0.9206588765974394,1.310678426480265,0,1.002534475709069,1.089907643278786,0.6881870641519676,0,302.1978021978022,821.5750915750916,801.025641025641,1336.117216117216,881.2087912087912,-0.036743,-0.180115,0.999634,-7.402039,5.532837,13.450775,1,4,1,4,4,100.000000
2021-04-07 12:39:36.685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-07 12:39:37.412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-07 12:39:37.605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-07 12:39:37.638,0.6154770026519123,0.7415870625941372,0.9545914375871374,0,0.2608053798011918,0.7780263293854257,1.321330412153804,0,0.7928063179208057,1.079402700175464,1.349460432567529,0,1.266557005266951,0.9206588765974394,1.310678426480265,0,1.002534475709069,1.089907643278786,0.6881870641519676,0,0,780.0732600732601,803.040293040293,0,823.1868131868132,-0.167480,-0.385010,0.903381,1.622467,-5.876770,-11.140442,1,4,1,1,4,100.000000
2021-04-07 12:39:38.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-07 12:39:38.599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-07 12:39:38.639,0.6154770026519123,0.7415870625941372,1.261364423841907,0,0.2608053798011918,0.7780263293854257,0.64666252719235,0,0.7928063179208057,1.079402700175464,1.159478302527686,0,1.266557005266951,0.9206588765974394,1.273976376014323,0,1.002534475709069,1.089907643278786,1.344648561720802,0,0,786.1172161172161,772.8205128205128,0,636.2271062271062,-0.124634,-0.004944,0.958008,117.856903,-5.031891,-31.582031,1,4,1,1,4,100.000000
2021-04-07 12:39:39.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-07 12:39:39.663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-04-07 12:39:39.683,0.6154770026519123,0.7415870625941372,1.261364423841907,0,0.2608053798011918,0.7780263293854257,0.64666252719235,0,0.7928063179208057,1.079402700175464,1.159478302527686,0,1.266557005266951,0.9206588765974394,1.273976376014323,0,1.002534475709069,1.089907643278786,1.344648561720802,0,593.919413919414,742.6007326007326,788.9377289377289,969.047619047619,1044.395604395604,-0.140137,0.142273,0.994019,-1.487885,-12.112427,8.695526,1,4,4,1,4,100.000000
2021-04-07 12:39:44.419,0.6154770026519123,0.7415870625941372,1.261364423841907,0,0.2608053798011918,0.7780263293854257,0.64666252719235,0,0.7928063179208057,1.079402700175464,1.159478302527686,0,1.266557005266951,0.9206588765974394,1.273976376014323,0,1.002534475709069,1.089907643278786,1.344648561720802,0,0,817.1428571428571,891.2820512820513,105.1648351648352,767.1794871794872,0.017029,0.065247,1.019470,-0.396271,-13.069458,11.147919,1,4,4,1,4,100.000000
